condition,seed,method,before_accuracy_loss,before_absolute_accuracy_change,before_certificate_upper_bound,after_accuracy_loss,after_absolute_accuracy_change,accuracy_recovery_fraction,after_audit_disagreement_rate,after_certificate_upper_bound,after_bound_slack,bound_not_violated,calibration_samples,audit_samples,label_budget,optimization_steps,trainable_parameters,elapsed_seconds,quantization_active,source_model_hash,repaired_model_hash,report_code_revision
floor_rounding_saturation,2718,logit_only,0.5145759717314488,0.5145759717314488,0.7845515901320919,0.05830388692579502,0.05830388692579502,0.8866952789699571,0.15098722415795587,0.1725232534869851,0.11421936656119008,True,800,861,0,280,640,39.985139100113884,True,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,6ea5818f2ddf3978953159c9b17f8189cbb6927cab6d0388d39fcaf9180db34f,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
floor_rounding_saturation,2718,global_threshold,0.5145759717314488,0.5145759717314488,0.7845515901320919,0.4646643109540636,0.4646643109540636,0.09699570815450648,0.7038327526132404,0.7294613790510152,0.2647970680969516,True,800,861,0,0,1,6.777584900148213,True,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,a0babb08b052af1b2a78735baff3e7787cb20a1bab707565242af0de0c01c0cc,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
floor_rounding_saturation,2718,per_platform_qat,0.5145759717314488,0.5145759717314488,0.7845515901320919,-0.030918727915194344,0.030918727915194344,1.0600858369098713,0.14518002322880372,0.1664098560881887,0.13549112817299436,True,800,861,800,280,108928,38.38255380000919,True,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,2b8e6a56e02e8a64b279a6798920cfad44e00ebcf0bd6194ec03af07c70543b3,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
floor_rounding_saturation,2718,supervised_target_retraining,0.5145759717314488,0.5145759717314488,0.7845515901320919,0.20318021201413428,0.20318021201413428,0.6051502145922747,0.4448315911730546,0.4733785557210969,0.2701983437069626,True,800,861,800,280,108928,37.251365000149235,True,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,ef1196ca39047ee14c23e5233729d4e7b5defb47b4642627fd0d25db545d064e,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
floor_rounding_saturation,3141,certificate_directed,0.5371024734982331,0.5371024734982331,0.7800746573718349,0.09805653710247342,0.09805653710247342,0.8174342105263159,0.16840882694541232,0.19080397025030948,0.09274743314783607,True,800,861,0,280,640,38.34892240003683,True,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,2d5da4b1d01cee67e1c431dea5682c899625293a10e252df892e6ea492f26671,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
floor_rounding_saturation,3141,logit_only,0.5371024734982331,0.5371024734982331,0.7800746573718349,0.039752650176678395,0.039752650176678395,0.9259868421052633,0.14169570267131243,0.1627367077669452,0.12298405759026682,True,800,861,0,280,640,38.002629100112244,True,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,f6597f40a602a81a89274789ea20a98ebf8eaaddec9b79aed8e7260e033eadec,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
floor_rounding_saturation,3141,global_threshold,0.5371024734982331,0.5371024734982331,0.7800746573718349,0.5172261484098939,0.5172261484098939,0.03700657894736848,0.759581881533101,0.7834327189252128,0.26620657051531893,True,800,861,0,0,1,6.059054300189018,True,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,5ae3cb87825c5c5ae554987a37e05b8ab99b38be9928945d071397837fa4bac6,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
floor_rounding_saturation,3141,per_platform_qat,0.5371024734982331,0.5371024734982331,0.7800746573718349,0.007508833922261426,0.007508833922261426,0.9860197368421054,0.13472706155632985,0.15537836020144624,0.14786952627918482,True,800,861,800,280,108928,36.49218500009738,True,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,d875bf75714c160a4cd67a531691a41e5d39d4d72a185018967660d080471f43,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
floor_rounding_saturation,3141,supervised_target_retraining,0.5371024734982331,0.5371024734982331,0.7800746573718349,0.2575088339222614,0.2575088339222614,0.5205592105263158,0.4099883855981417,0.43833792242799774,0.1808290885057363,True,800,861,800,280,108928,39.82406289991923,True,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,e408c9bd4b51bb22d4d7b4e07656e63ed27affa57da23c2474f1b301056e2c34,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
floor_rounding_saturation,5772,certificate_directed,0.5516784452296819,0.5516784452296819,0.8577849948790499,0.053003533568904526,0.053003533568904526,0.9039231385108087,0.17305458768873402,0.19566478775665502,0.1426612541877505,True,800,861,0,280,640,43.30138469999656,True,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,94da76cc6041b1691004c2d557d3c2124c5971d9b1b66913d13e57331378ad7d,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
