seed,condition,audit_disagreements,audit_samples,audit_disagreement_rate,simultaneous_upper_bound,reference_test_accuracy,target_test_accuracy,accuracy_loss,absolute_accuracy_change,bound_slack_vs_test_change,bound_not_violated
3141,pre_threshold__floor,63,104,0.6057692307692307,0.7266386040442527,0.8712121212121212,0.3787878787878788,0.49242424242424243,0.49242424242424243,0.2342143616200103,True
3141,reset__fixed__delay_1,14,104,0.1346153846153846,0.24224677666365424,0.8712121212121212,0.8181818181818182,0.05303030303030298,0.05303030303030298,0.18921647363335126,True
5772,reset_to_value,14,104,0.1346153846153846,0.24224677666365424,0.8560606060606061,0.7992424242424242,0.05681818181818188,0.05681818181818188,0.18542859484547236,True
5772,exponential_euler,16,104,0.15384615384615385,0.26520561909248597,0.8560606060606061,0.7803030303030303,0.0757575757575758,0.0757575757575758,0.18944804333491017,True
5772,pre_integration_threshold,0,104,0.0,0.04966940415125787,0.8560606060606061,0.8598484848484849,-0.0037878787878787845,0.0037878787878787845,0.04588152536337908,True
5772,fixed_q8_weights_q16_state,5,104,0.04807692307692308,0.13017753954466504,0.8560606060606061,0.8522727272727273,0.0037878787878787845,0.0037878787878787845,0.12638966075678626,True
5772,floor_rounding_saturation,62,104,0.5961538461538461,0.7179588315887926,0.8560606060606061,0.39015151515151514,0.46590909090909094,0.46590909090909094,0.25204974067970165,True
5772,synaptic_delay_1,0,104,0.0,0.04966940415125787,0.8560606060606061,0.8598484848484849,-0.0037878787878787845,0.0037878787878787845,0.04588152536337908,True
5772,reset_to_value__delay_1,14,104,0.1346153846153846,0.24224677666365424,0.8560606060606061,0.7916666666666666,0.06439393939393945,0.06439393939393945,0.1778528372697148,True
5772,exponential__fixed,17,104,0.16346153846153846,0.2765105510136773,0.8560606060606061,0.7803030303030303,0.0757575757575758,0.0757575757575758,0.20075297525610147,True
5772,pre_threshold__floor,62,104,0.5961538461538461,0.7179588315887926,0.8560606060606061,0.3939393939393939,0.46212121212121215,0.46212121212121215,0.25583761946758043,True
5772,reset__fixed__delay_1,13,104,0.125,0.23057375117892237,0.8560606060606061,0.8106060606060606,0.045454545454545525,0.045454545454545525,0.18511920572437685,True
8119,reset_to_value,12,104,0.11538461538461539,0.2187560268416519,0.8257575757575758,0.8484848484848485,-0.022727272727272707,0.022727272727272707,0.1960287541143792,True
8119,exponential_euler,15,104,0.14423076923076922,0.2537872963984561,0.8257575757575758,0.8181818181818182,0.007575757575757569,0.007575757575757569,0.24621153882269853,True
8119,pre_integration_threshold,1,104,0.009615384615384616,0.06927516440273324,0.8257575757575758,0.8181818181818182,0.007575757575757569,0.007575757575757569,0.06169940682697567,True
8119,fixed_q8_weights_q16_state,5,104,0.04807692307692308,0.13017753954466504,0.8257575757575758,0.821969696969697,0.0037878787878787845,0.0037878787878787845,0.12638966075678626,True
8119,floor_rounding_saturation,53,104,0.5096153846153846,0.6377404369260309,0.8257575757575758,0.5113636363636364,0.31439393939393945,0.31439393939393945,0.32334649753209144,True
8119,synaptic_delay_1,1,104,0.009615384615384616,0.06927516440273324,0.8257575757575758,0.8181818181818182,0.007575757575757569,0.007575757575757569,0.06169940682697567,True
8119,reset_to_value__delay_1,12,104,0.11538461538461539,0.2187560268416519,0.8257575757575758,0.8484848484848485,-0.022727272727272707,0.022727272727272707,0.1960287541143792,True
8119,exponential__fixed,16,104,0.15384615384615385,0.26520561909248597,0.8257575757575758,0.8068181818181818,0.018939393939394034,0.018939393939394034,0.24626622515309193,True
8119,pre_threshold__floor,55,104,0.5288461538461539,0.6558870465125597,0.8257575757575758,0.5113636363636364,0.31439393939393945,0.31439393939393945,0.34149310711862024,True
8119,reset__fixed__delay_1,13,104,0.125,0.23057375117892237,0.8257575757575758,0.8371212121212122,-0.011363636363636354,0.011363636363636354,0.21921011481528602,True
