benchmark,seed,condition,samples,disagreement_rate,reference_favoring_accuracy_change,target_favoring_accuracy_change,reference_favoring_labels_hash,target_favoring_labels_hash,reference_witness_attains_bound,target_witness_attains_bound
N-MNIST,3141,pre_threshold__floor,6005,0.06477935054121566,0.06477935054121564,0.06477935054121564,20b203d652b2fb4f0b268de795ab65e0596476466abeb458d15b3fbe5699c6cb,a9e39556b68886f5106ed0c5a60fbb41d08c344e913666126f809248c6965992,True,True
N-MNIST,3141,reset__fixed__delay_1,6005,0.0093255620316403,0.009325562031640255,0.009325562031640255,20b203d652b2fb4f0b268de795ab65e0596476466abeb458d15b3fbe5699c6cb,68346e7bcca9f519d5c5b672eda02ef29aa7d8e4757f42a5d1c284a1bbb6a37e,True,True
N-MNIST,3141,reset_to_value,6005,0.00832639467110741,0.008326394671107407,0.008326394671107407,20b203d652b2fb4f0b268de795ab65e0596476466abeb458d15b3fbe5699c6cb,3c5a2841196e3225c6da48db687df425b84522bfa37705c50a07d8e9a97bff1d,True,True
N-MNIST,3141,reset_to_value__delay_1,6005,0.008492922564529558,0.008492922564529604,0.008492922564529604,20b203d652b2fb4f0b268de795ab65e0596476466abeb458d15b3fbe5699c6cb,8974feaf4159bfc1aa788952e2f118f896437d795f33b37bf7bd4c1777359106,True,True
N-MNIST,3141,synaptic_delay_1,6005,0.0,0.0,0.0,20b203d652b2fb4f0b268de795ab65e0596476466abeb458d15b3fbe5699c6cb,20b203d652b2fb4f0b268de795ab65e0596476466abeb458d15b3fbe5699c6cb,True,True
N-MNIST,5772,exponential__fixed,6005,0.011656952539550375,0.011656952539550347,0.011656952539550347,d2ff47ec3f528b119c34c61a4a1db5d390b8c136e4468d48cceb4a5188c9d5f1,08c9837bc47ee1a122fdd5df9251bbb8c55576e03a3b4276a21facb01fcec468,True,True
N-MNIST,5772,exponential_euler,6005,0.010491257285595338,0.010491257285595301,0.010491257285595301,d2ff47ec3f528b119c34c61a4a1db5d390b8c136e4468d48cceb4a5188c9d5f1,906db0c599a63d898d31cc68d81bf20d12e9dc96c65319bbd2d2dd0393d074fe,True,True
N-MNIST,5772,fixed_q8_weights_q16_state,6005,0.005162364696086595,0.005162364696086552,0.005162364696086552,d2ff47ec3f528b119c34c61a4a1db5d390b8c136e4468d48cceb4a5188c9d5f1,12ce8ac698d0be310eb6ba8e34ccd162639879961c13f04e1db3475e063c853a,True,True
N-MNIST,5772,floor_rounding_saturation,6005,0.05545378850957535,0.055453788509575386,0.055453788509575386,d2ff47ec3f528b119c34c61a4a1db5d390b8c136e4468d48cceb4a5188c9d5f1,26fb8026426e5613ffb323d0519e41ff585ebba7002609a4ee071f956a6465e7,True,True
N-MNIST,5772,pre_integration_threshold,6005,0.0,0.0,0.0,d2ff47ec3f528b119c34c61a4a1db5d390b8c136e4468d48cceb4a5188c9d5f1,d2ff47ec3f528b119c34c61a4a1db5d390b8c136e4468d48cceb4a5188c9d5f1,True,True
N-MNIST,5772,pre_threshold__floor,6005,0.05545378850957535,0.055453788509575386,0.055453788509575386,d2ff47ec3f528b119c34c61a4a1db5d390b8c136e4468d48cceb4a5188c9d5f1,26fb8026426e5613ffb323d0519e41ff585ebba7002609a4ee071f956a6465e7,True,True
N-MNIST,5772,reset__fixed__delay_1,6005,0.010824313072439634,0.010824313072439584,0.010824313072439584,d2ff47ec3f528b119c34c61a4a1db5d390b8c136e4468d48cceb4a5188c9d5f1,33bd8443d48217a31586635798cce9e1516a4a9b34054e44ce8c5bd837f91637,True,True
N-MNIST,5772,reset_to_value,6005,0.009492089925062447,0.009492089925062452,0.009492089925062452,d2ff47ec3f528b119c34c61a4a1db5d390b8c136e4468d48cceb4a5188c9d5f1,b2d5c5ff01d96f6ed8654d25f52280b3024d43c6a8fa2db3e6f3e075e0803361,True,True
N-MNIST,5772,reset_to_value__delay_1,6005,0.009492089925062447,0.009492089925062452,0.009492089925062452,d2ff47ec3f528b119c34c61a4a1db5d390b8c136e4468d48cceb4a5188c9d5f1,b2d5c5ff01d96f6ed8654d25f52280b3024d43c6a8fa2db3e6f3e075e0803361,True,True
N-MNIST,5772,synaptic_delay_1,6005,0.0,0.0,0.0,d2ff47ec3f528b119c34c61a4a1db5d390b8c136e4468d48cceb4a5188c9d5f1,d2ff47ec3f528b119c34c61a4a1db5d390b8c136e4468d48cceb4a5188c9d5f1,True,True
N-MNIST,8119,exponential__fixed,6005,0.00832639467110741,0.008326394671107407,0.008326394671107407,1cafcd27485472d24c999eb9029987edb9eb546ad9961140a23dbdbd5877c12b,4006a43631daee4fb4e4b2fd10a4ba06f476672be88627ef6f650c9573a904a9,True,True
N-MNIST,8119,exponential_euler,6005,0.009825145711906744,0.009825145711906735,0.009825145711906735,1cafcd27485472d24c999eb9029987edb9eb546ad9961140a23dbdbd5877c12b,391e7ed3acf0835d3bed1d6d77a19f93ab030e33fbcaf9ed53d107eeef0594e1,True,True
N-MNIST,8119,fixed_q8_weights_q16_state,6005,0.005828476269775187,0.005828476269775229,0.005828476269775229,1cafcd27485472d24c999eb9029987edb9eb546ad9961140a23dbdbd5877c12b,1d4ebb74d9425b2ecd012397264447e60084d8b3e80fe9279feefb64ac905a7b,True,True
N-MNIST,8119,floor_rounding_saturation,6005,0.06827643630308076,0.06827643630308078,0.06827643630308078,1cafcd27485472d24c999eb9029987edb9eb546ad9961140a23dbdbd5877c12b,4643350f4c914ae550373a6bd965ea23fb65c2104ef91fad15d1e1ad2ac4a8d4,True,True
N-MNIST,8119,pre_integration_threshold,6005,0.00016652789342214822,0.00016652789342219698,0.00016652789342219698,1cafcd27485472d24c999eb9029987edb9eb546ad9961140a23dbdbd5877c12b,41b47212ad5301cca801decf48e0cb3fd0c9a6eba0600758f7dad488d332d9f9,True,True
N-MNIST,8119,pre_threshold__floor,6005,0.06827643630308076,0.06827643630308078,0.06827643630308078,1cafcd27485472d24c999eb9029987edb9eb546ad9961140a23dbdbd5877c12b,4643350f4c914ae550373a6bd965ea23fb65c2104ef91fad15d1e1ad2ac4a8d4,True,True
N-MNIST,8119,reset__fixed__delay_1,6005,0.011323896752706078,0.011323896752706064,0.011323896752706064,1cafcd27485472d24c999eb9029987edb9eb546ad9961140a23dbdbd5877c12b,8d10606b8a755f507b0b0f64bd7f513018b4d68eb151188bdc2bacdd6e62f8ee,True,True
N-MNIST,8119,reset_to_value,6005,0.01015820149875104,0.010158201498751018,0.010158201498751018,1cafcd27485472d24c999eb9029987edb9eb546ad9961140a23dbdbd5877c12b,7da1964263bfa546dec52b67cc1c852916ec43f047b68d485f0cb9898d43c5e3,True,True
N-MNIST,8119,reset_to_value__delay_1,6005,0.010491257285595338,0.010491257285595301,0.010491257285595301,1cafcd27485472d24c999eb9029987edb9eb546ad9961140a23dbdbd5877c12b,0c54c2673391596f8f27365eb7358bf7342ce4ce50ea307f2b6b51bb69d9cd73,True,True
